x% This file contains an extracted local summary of land-surface
% temperature results produced by the Berkeley Earth averaging
% method for the location:
%
%    50.63 N, 8.87 E
%
% The Berkeley Earth method takes temperature observations from a large
% collection of weather monitoring stations and produces an estimate of
% the underlying global temperature field across all of the Earth's
% land areas.  Once this temperature field has been generated, it is
% possible to estimate the temperature evolution of individual locations
% simply by sampling the field at the locaiton in question.  This
% file contains such a local estimate.
%
% Temperatures are in Celsius and reported as anomalies relative to the
% Jan 1951-Dec 1980 average.  Uncertainties represent the 95% confidence
% interval for statistical noise and spatial undersampling effects.  Such
% uncertainties are expected to account for the effects of random
% noise as well as random biases affecting station trends and random
% shifts in station baselines.  The analysis framework is expected to be
% robust against most forms of bias; however, the impact of some forms of
% possible systematic bias is still being studied.
%
% The current dataset presented here is described as:
%
%   Berkeley Earth analysis for mean temperature on complete dataset
%
%
% This analysis was run on 06-Jan-2021 15:35:34
%
% Global results are based on 50564 time series
%   with 20694236 data points
%
% The current location is characterized by:
%%   Location: 50.63 N, 8.87 E
%%   Country: Germany
%%   Nearby Cities: Frankfurt, Wiesbaden, Kassel, Mainz, Darmstadt, Offenbach
%%   Percent water in local neighborhood: 0.0 %
%%   Temperature stations within 200 km: 429
%%   Temperature obeservations within 200 km: 230497
%
% Note that all results reported here are derived from the full field
% analysis and may use information from stations a great distance from the
% target location when more local sources are not available.  In general,
% the temperature anomaly field has significant correlation extending over
% greater than 1000 km, which allows even distant stations to provide some
% insight at times when local coverage may be lacking.
%
%% Estimated Jan 1951-Dec 1980 absolute temperature (C): 8.06 +/- 0.24
%
% Estimated Jan 1951-Dec 1980 monthly absolute temperature (C):
%      Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
%%      -0.87   0.28   3.67   7.43  11.83  15.24  16.73  16.35  13.36   8.60   3.69   0.42
%% +/-   0.29   0.26   0.28   0.29   0.27   0.27   0.28   0.26   0.27   0.28   0.28   0.29
%
% For each month, we report the estimated land-surface anomaly for that
% month and its uncertainty.  We also report the corresponding values for
% year, five-year, ten-year, and twenty-year moving averages CENTERED about
% that month (rounding down if the center is in between months).  For example,
% the annual average from January to December 1950 is reported at June 1950.
%
% Values are reported as missing (i.e. NaN) when station coverage near
% this location becomes too low.  Time averages over intervals with some
% missing data will be reported as long as at least 75% of the necessary
% values are available.
%
Year-Month;Anomaly_Month;Err_Month;Anomaly_Year;Err_Year;Anomaly_Five;Err_Five;Anomaly_Ten;Err_Ten;Anomaly_Twenty;Err_Twenty
1743-03;-1.249;1.890;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1743-04;-2.915;1.768;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1743-05;-0.798;0.514;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1743-06;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1743-07;-1.477;0.615;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1743-08;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1743-09;-1.022;0.502;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1743-10;-3.707;0.850;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1743-11;0.704;4.270;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1743-12;-0.690;1.650;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1744-01;-2.386;1.180;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1744-02;-3.032;1.847;-1.250;0.673;NaN;NaN;NaN;NaN;NaN;NaN
1744-03;-1.629;1.308;-1.189;0.757;NaN;NaN;NaN;NaN;NaN;NaN
1744-04;-0.541;8.614;-0.921;0.788;NaN;NaN;NaN;NaN;NaN;NaN
1744-05;-0.553;7.776;-0.984;1.044;NaN;NaN;NaN;NaN;NaN;NaN
1744-06;-0.374;3.603;-1.031;1.331;NaN;NaN;NaN;NaN;NaN;NaN
1744-07;-0.229;2.367;-1.026;0.803;NaN;NaN;NaN;NaN;NaN;NaN
1744-08;-1.536;1.668;-0.975;0.732;NaN;NaN;NaN;NaN;NaN;NaN
1744-09;-0.293;6.665;-1.010;0.564;NaN;NaN;NaN;NaN;NaN;NaN
1744-10;-0.498;2.005;-0.963;0.578;NaN;NaN;NaN;NaN;NaN;NaN
1744-11;-0.046;5.579;-0.905;0.467;NaN;NaN;NaN;NaN;NaN;NaN
1744-12;-1.254;6.928;-0.877;0.379;NaN;NaN;NaN;NaN;NaN;NaN
1745-01;-2.327;7.015;-0.876;0.351;NaN;NaN;NaN;NaN;NaN;NaN
1745-02;-2.420;4.227;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1745-03;-2.053;2.078;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1745-04;0.026;4.092;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1745-05;0.143;0.455;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
