% This file contains an extracted local summary of land-surface 
% temperature results produced by the Berkeley Earth averaging 
% method for the location: 
% 
%    49.03 N, 2.45 E
% 
% The Berkeley Earth method takes temperature observations from a large 
% collection of weather monitoring stations and produces an estimate of 
% the underlying global temperature field across all of the Earth's 
% land areas.  Once this temperature field has been generated, it is 
% possible to estimate the temperature evolution of individual locations 
% simply by sampling the field at the locaiton in question.  This 
% file contains such a local estimate.
% 
% Temperatures are in Celsius and reported as anomalies relative to the 
% Jan 1951-Dec 1980 average.  Uncertainties represent the 95% confidence 
% interval for statistical noise and spatial undersampling effects.  Such 
% uncertainties are expected to account for the effects of random 
% noise as well as random biases affecting station trends and random 
% shifts in station baselines.  The analysis framework is expected to be 
% robust against most forms of bias; however, the impact of some forms of 
% possible systematic bias is still being studied.
% 
% The current dataset presented here is described as: 
% 
%   Berkeley Earth analysis for mean temperature on complete dataset
% 
% 
% This analysis was run on 06-Jan-2021 15:35:34
% 
% Global results are based on 50564 time series 
%   with 20694236 data points
% 
% The current location is characterized by: 
%%   Location: 49.03 N, 2.45 E
%%   Country: France
%%   Nearby Cities: Paris, Amiens, Boulogne-Billancourt, Argenteuil, Montreuil
%%   Percent water in local neighborhood: 0.0 %
%%   Temperature stations within 200 km: 66
%%   Temperature obeservations within 200 km: 26243
% 
% Note that all results reported here are derived from the full field 
% analysis and may use information from stations a great distance from the 
% target location when more local sources are not available.  In general, 
% the temperature anomaly field has significant correlation extending over 
% greater than 1000 km, which allows even distant stations to provide some 
% insight at times when local coverage may be lacking. 
% 
%% Estimated Jan 1951-Dec 1980 absolute temperature (C): 10.34 +/- 0.15
% 
% Estimated Jan 1951-Dec 1980 monthly absolute temperature (C):
%      Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
%%       2.82   3.84   6.49   9.15  13.02  16.17  18.08  17.81  15.36  11.05   6.41   3.83
%% +/-   0.26   0.24   0.19   0.16   0.19   0.22   0.24   0.24   0.21   0.16   0.19   0.25
% 
% For each month, we report the estimated land-surface anomaly for that 
% month and its uncertainty.  We also report the corresponding values for 
% year, five-year, ten-year, and twenty-year moving averages CENTERED about 
% that month (rounding down if the center is in between months).  For example, 
% the annual average from January to December 1950 is reported at June 1950. 
% 
% Values are reported as missing (i.e. NaN) when station coverage near 
% this location becomes too low.  Time averages over intervals with some 
% missing data will be reported as long as at least 75% of the necessary 
% values are available.
% 
%                  Monthly          Annual          Five-year        Ten-year        Twenty-year
Year-Month;AnomalyMonth;AnomalyMonthErr;AnomalyYear;AnomalyYearErr;AnomalyFive;AnomalyFiveErr;AnomlyTen;AnomalyTenErr;AnomalyTwenty;AnomalyTwentyErr
1743-03;-1.240;1.884;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1743-04;-2.860;1.888;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1743-05;-0.968;1.028;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1743-06;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1743-07;-1.098;1.054;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1743-08;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1743-09;-0.929;0.984;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1743-10;-3.869;1.109;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1743-11;0.275;3.933;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1743-12;-1.226;1.997;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1744-01;-2.263;1.639;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1744-02;-2.954;1.995;-1.290;0.765;NaN;NaN;NaN;NaN;NaN;NaN
1744-03;-1.781;1.550;-1.274;0.781;NaN;NaN;NaN;NaN;NaN;NaN
1744-04;-0.664;8.335;-1.025;0.803;NaN;NaN;NaN;NaN;NaN;NaN
1744-05;-0.731;7.174;-1.049;1.002;NaN;NaN;NaN;NaN;NaN;NaN
1744-06;0.206;3.271;-1.047;1.225;NaN;NaN;NaN;NaN;NaN;NaN
1744-07;-0.235;2.129;-1.010;0.826;NaN;NaN;NaN;NaN;NaN;NaN
1744-08;-1.314;1.779;-0.945;0.778;NaN;NaN;NaN;NaN;NaN;NaN
1744-09;-0.735;5.688;-0.974;0.668;NaN;NaN;NaN;NaN;NaN;NaN
1744-10;-0.884;2.081;-0.892;0.681;NaN;NaN;NaN;NaN;NaN;NaN
1744-11;-0.004;5.158;-0.836;0.618;NaN;NaN;NaN;NaN;NaN;NaN
1744-12;-1.205;6.628;-0.855;0.569;NaN;NaN;NaN;NaN;NaN;NaN
1745-01;-1.816;6.179;-0.847;0.552;NaN;NaN;NaN;NaN;NaN;NaN
1745-02;-2.184;4.199;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1745-03;-2.121;2.081;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1745-04;0.319;3.852;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1745-05;-0.067;1.019;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1745-06;-0.014;0.929;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1745-07;-0.146;1.010;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
