STATION;NAME;DATE;PRCP;SNOW;SNWD;TAVG;TMAX;TMIN
GLW00017602;THULE/GL;1946-09-08;0.0;0.0;;;3.9;-2.2
GLW00017602;THULE/GL;1946-09-09;0.0;0.0;;;2.2;-3.3
GLW00017602;THULE/GL;1946-09-10;0.0;0.0;;;2.8;-3.3
GLW00017602;THULE/GL;1946-09-11;0.0;0.0;;;4.4;-4.4
GLW00017602;THULE/GL;1946-09-12;0.5;3.0;;;3.3;-1.1
GLW00017602;THULE/GL;1946-09-13;2.0;0.0;;;5.0;-1.7
GLW00017602;THULE/GL;1946-09-14;0.0;0.0;;;7.2;0.0
GLW00017602;THULE/GL;1946-09-15;0.0;0.0;;;1.1;-1.7
GLW00017602;THULE/GL;1946-09-16;0.0;0.0;;;0.0;-1.7
GLW00017602;THULE/GL;1946-09-17;0.0;0.0;;;0.0;-2.8
GLW00017602;THULE/GL;1946-09-18;0.0;0.0;;;0.0;-3.9
GLW00017602;THULE/GL;1946-09-19;0.0;0.0;;;-2.2;-7.2
GLW00017602;THULE/GL;1946-09-20;0.0;0.0;;;-1.1;-6.7
GLW00017602;THULE/GL;1946-09-21;0.0;0.0;;;-1.1;-7.8
GLW00017602;THULE/GL;1946-09-22;0.0;0.0;;;-1.7;-8.3
GLW00017602;THULE/GL;1946-09-23;0.0;0.0;;;-2.8;-6.7
GLW00017602;THULE/GL;1946-09-24;0.0;0.0;;;-3.3;-6.1
GLW00017602;THULE/GL;1946-09-25;0.0;0.0;;;-3.9;-11.1
GLW00017602;THULE/GL;1946-09-26;0.0;0.0;;;-5.0;-12.2
GLW00017602;THULE/GL;1946-09-27;0.0;0.0;;;-2.2;-11.1
GLW00017602;THULE/GL;1946-09-28;0.0;0.0;;;-4.4;-12.8
GLW00017602;THULE/GL;1946-09-29;0.0;0.0;;;-1.7;-12.8
GLW00017602;THULE/GL;1946-09-30;0.0;0.0;;;0.0;-6.7
GLW00017602;THULE/GL;1946-10-01;0.3;3.0;;;-1.7;-7.8
GLW00017602;THULE/GL;1946-10-02;0.0;0.0;;;-3.3;-11.1
GLW00017602;THULE/GL;1946-10-03;0.0;0.0;;;-0.6;-8.9
GLW00017602;THULE/GL;1946-10-04;0.0;0.0;;;-2.8;-13.3
GLW00017602;THULE/GL;1946-10-05;0.0;0.0;;;-7.2;-14.4
GLW00017602;THULE/GL;1946-10-06;0.0;0.0;;;-7.2;-13.3
GLW00017602;THULE/GL;1946-10-07;0.0;0.0;;;-6.1;-12.2
GLW00017602;THULE/GL;1946-10-08;0.0;0.0;;;-4.4;-8.3
GLW00017602;THULE/GL;1946-10-09;0.0;0.0;;;-4.4;-12.8
GLW00017602;THULE/GL;1946-10-10;0.0;0.0;;;-2.8;-8.9
GLW00017602;THULE/GL;1946-10-11;0.0;0.0;;;-2.8;-10.6
GLW00017602;THULE/GL;1946-10-12;0.3;3.0;;;-2.8;-7.8
GLW00017602;THULE/GL;1946-10-13;0.0;0.0;;;3.3;-4.4
GLW00017602;THULE/GL;1946-10-14;0.3;3.0;;;2.2;-1.7
GLW00017602;THULE/GL;1946-10-15;0.3;3.0;;;2.2;-3.3
GLW00017602;THULE/GL;1946-10-16;0.3;3.0;;;0.6;-2.8
GLW00017602;THULE/GL;1946-10-17;0.8;10.0;;;-0.6;-12.8
GLW00017602;THULE/GL;1946-10-18;0.0;0.0;;;-5.6;-16.7
GLW00017602;THULE/GL;1946-10-19;0.0;0.0;;;-2.8;-16.1
GLW00017602;THULE/GL;1946-10-20;0.3;3.0;;;0.0;-5.6
GLW00017602;THULE/GL;1946-10-21;0.0;0.0;;;-4.4;-13.3
GLW00017602;THULE/GL;1946-10-22;0.3;3.0;;;-6.1;-8.3
GLW00017602;THULE/GL;1946-10-23;0.0;0.0;;;-7.2;-18.3
GLW00017602;THULE/GL;1946-10-24;0.0;0.0;;;-10.6;-18.9
GLW00017602;THULE/GL;1946-10-25;0.0;0.0;;;-8.9;-16.7
GLW00017602;THULE/GL;1946-10-26;0.0;0.0;;;-7.8;-20.0
GLW00017602;THULE/GL;1946-10-27;0.0;0.0;;;-16.7;-22.2
GLW00017602;THULE/GL;1946-10-28;0.0;0.0;;;-17.8;-23.9
GLW00017602;THULE/GL;1946-10-29;0.0;0.0;;;-10.6;-17.8
GLW00017602;THULE/GL;1946-10-30;0.0;0.0;;;-9.4;-13.9
GLW00017602;THULE/GL;1946-10-31;0.0;0.0;;;-11.1;-21.7
GLW00017602;THULE/GL;1946-11-01;0.0;0.0;0.0;;-12.8;-22.8
GLW00017602;THULE/GL;1946-11-02;0.0;0.0;0.0;;-7.8;-17.8
GLW00017602;THULE/GL;1946-11-03;0.0;0.0;0.0;;-8.9;-18.3
GLW00017602;THULE/GL;1946-11-04;0.0;0.0;0.0;;-12.2;-21.1
GLW00017602;THULE/GL;1946-11-05;0.0;0.0;0.0;;-20.0;-22.8
GLW00017602;THULE/GL;1946-11-06;0.0;0.0;0.0;;-16.7;-22.2
GLW00017602;THULE/GL;1946-11-07;0.0;0.0;0.0;;-16.1;-23.9
GLW00017602;THULE/GL;1946-11-08;0.0;0.0;0.0;;-16.7;-23.3
GLW00017602;THULE/GL;1946-11-09;0.0;0.0;0.0;;-7.8;-18.9
GLW00017602;THULE/GL;1946-11-10;0.0;0.0;0.0;;-9.4;-18.9
GLW00017602;THULE/GL;1946-11-11;0.0;0.0;0.0;;-5.6;-15.0
GLW00017602;THULE/GL;1946-11-12;1.8;30.0;0.0;;-2.2;-7.8
GLW00017602;THULE/GL;1946-11-13;0.0;0.0;0.0;;-1.1;-10.0
GLW00017602;THULE/GL;1946-11-14;0.3;3.0;0.0;;-5.0;-16.1
GLW00017602;THULE/GL;1946-11-15;0.8;8.0;0.0;;-10.0;-17.2
GLW00017602;THULE/GL;1946-11-16;0.0;3.0;0.0;;-12.8;-18.9
GLW00017602;THULE/GL;1946-11-17;0.0;0.0;0.0;;-18.3;-28.9
GLW00017602;THULE/GL;1946-11-18;0.0;0.0;0.0;;-22.8;-28.9
GLW00017602;THULE/GL;1946-11-19;0.0;0.0;0.0;;-8.9;-26.7
