STATION;NAME;MESS_DATUM;RSK;TAVG;TMAX;TMIN
RSM00029430;TOMSK/RS;18810101;0.00;23;;
RSM00029430;TOMSK/RS;18810102;0.00;12;;
RSM00029430;TOMSK/RS;18810103;0.00;-4;;
RSM00029430;TOMSK/RS;18810104;0.00;1;;
RSM00029430;TOMSK/RS;18810105;0.01;18;;
RSM00029430;TOMSK/RS;18810106;0.04;23;;
RSM00029430;TOMSK/RS;18810107;0.01;27;;
RSM00029430;TOMSK/RS;18810108;0.00;28;;
RSM00029430;TOMSK/RS;18810109;0.00;22;;
RSM00029430;TOMSK/RS;18810110;0.00;19;;
RSM00029430;TOMSK/RS;18810111;0.03;21;;
RSM00029430;TOMSK/RS;18810112;0.00;-14;;
RSM00029430;TOMSK/RS;18810113;0.00;-10;;
RSM00029430;TOMSK/RS;18810114;0.00;-12;;
RSM00029430;TOMSK/RS;18810115;0.00;0;;
RSM00029430;TOMSK/RS;18810116;0.02;-2;;
RSM00029430;TOMSK/RS;18810117;0.00;17;;
RSM00029430;TOMSK/RS;18810118;0.00;9;;
RSM00029430;TOMSK/RS;18810119;0.00;24;;
RSM00029430;TOMSK/RS;18810120;0.00;15;;
RSM00029430;TOMSK/RS;18810121;0.00;8;;
RSM00029430;TOMSK/RS;18810122;0.00;12;;
RSM00029430;TOMSK/RS;18810123;0.07;37;;
RSM00029430;TOMSK/RS;18810124;0.00;21;;
RSM00029430;TOMSK/RS;18810125;0.00;-7;;
RSM00029430;TOMSK/RS;18810126;0.00;-4;;
RSM00029430;TOMSK/RS;18810127;0.12;4;;
RSM00029430;TOMSK/RS;18810128;0.00;22;;
RSM00029430;TOMSK/RS;18810129;0.00;-8;;
RSM00029430;TOMSK/RS;18810130;0.03;1;;
RSM00029430;TOMSK/RS;18810131;0.00;-9;;
RSM00029430;TOMSK/RS;18810201;0.00;-21;;
RSM00029430;TOMSK/RS;18810202;0.00;-9;;
RSM00029430;TOMSK/RS;18810203;0.00;-3;;
RSM00029430;TOMSK/RS;18810204;0.00;-5;;
RSM00029430;TOMSK/RS;18810205;0.02;20;;
RSM00029430;TOMSK/RS;18810206;0.04;18;;
RSM00029430;TOMSK/RS;18810207;0.00;0;;
RSM00029430;TOMSK/RS;18810208;0.02;-7;;
RSM00029430;TOMSK/RS;18810209;0.00;10;;
RSM00029430;TOMSK/RS;18810210;0.00;3;;
RSM00029430;TOMSK/RS;18810211;0.00;-22;;
RSM00029430;TOMSK/RS;18810212;0.00;-8;;
RSM00029430;TOMSK/RS;18810213;0.00;6;;
RSM00029430;TOMSK/RS;18810214;0.00;12;;
RSM00029430;TOMSK/RS;18810215;0.00;13;;
RSM00029430;TOMSK/RS;18810216;0.00;-10;;
RSM00029430;TOMSK/RS;18810217;0.00;-1;;
RSM00029430;TOMSK/RS;18810218;0.04;3;;
RSM00029430;TOMSK/RS;18810219;0.00;-15;;
RSM00029430;TOMSK/RS;18810220;0.00;-26;;
RSM00029430;TOMSK/RS;18810221;0.00;-28;;
RSM00029430;TOMSK/RS;18810222;0.02;-15;;
RSM00029430;TOMSK/RS;18810223;0.00;-5;;
RSM00029430;TOMSK/RS;18810224;0.00;1;;
RSM00029430;TOMSK/RS;18810225;0.00;7;;
RSM00029430;TOMSK/RS;18810226;0.00;4;;
RSM00029430;TOMSK/RS;18810227;0.00;-6;;
RSM00029430;TOMSK/RS;18810228;0.00;-12;;
RSM00029430;TOMSK/RS;18810301;0.00;-11;;
RSM00029430;TOMSK/RS;18810302;0.00;-3;;
RSM00029430;TOMSK/RS;18810303;0.00;-3;;
RSM00029430;TOMSK/RS;18810304;0.00;-1;;
RSM00029430;TOMSK/RS;18810305;0.00;-1;;
RSM00029430;TOMSK/RS;18810306;0.00;1;;
RSM00029430;TOMSK/RS;18810307;0.00;-1;;
RSM00029430;TOMSK/RS;18810308;0.01;0;;
RSM00029430;TOMSK/RS;18810309;0.00;-8;;
RSM00029430;TOMSK/RS;18810310;0.00;-3;;
RSM00029430;TOMSK/RS;18810311;0.00;1;;
RSM00029430;TOMSK/RS;18810312;0.00;7;;
RSM00029430;TOMSK/RS;18810313;0.00;17;;
RSM00029430;TOMSK/RS;18810314;0.00;17;;
RSM00029430;TOMSK/RS;18810315;0.07;24;;
RSM00029430;TOMSK/RS;18810316;0.00;13;;
RSM00029430;TOMSK/RS;18810317;0.00;8;;
RSM00029430;TOMSK/RS;18810318;0.00;25;;
